Ano,Subprefeitura,Dist_Adm,Populacao
2007,Pinheiros,Pinheiros,64709
2008,Pinheiros,Pinheiros,64955
2009,Pinheiros,Pinheiros,65157
2010,Pinheiros,Pinheiros,65345
2011,Pinheiros,Pinheiros,65382
2012,Pinheiros,Pinheiros,65444
2013,Pinheiros,Pinheiros,65489
2014,Pinheiros,Pinheiros,65527
2015,Pinheiros,Pinheiros,65572
2016,Pinheiros,Pinheiros,65693
2017,Pinheiros,Pinheiros,65823
2018,Pinheiros,Pinheiros,65923
2019,Pinheiros,Pinheiros,66016
2020,Pinheiros,Pinheiros,66045
2021,Pinheiros,Pinheiros,66007
2022,Pinheiros,Pinheiros,65995
2023,Pinheiros,Pinheiros,66035
2024,Pinheiros,Pinheiros,66007
2000,Pirituba/Jaraguá,Pirituba,161736
2001,Pirituba/Jaraguá,Pirituba,162572
2002,Pirituba/Jaraguá,Pirituba,163323
2003,Pirituba/Jaraguá,Pirituba,164009
2004,Pirituba/Jaraguá,Pirituba,164671
2005,Pirituba/Jaraguá,Pirituba,165360
2006,Pirituba/Jaraguá,Pirituba,165970
2007,Pirituba/Jaraguá,Pirituba,166444
2008,Pirituba/Jaraguá,Pirituba,166900
2009,Pirituba/Jaraguá,Pirituba,167342
2010,Pirituba/Jaraguá,Pirituba,167879
2011,Pirituba/Jaraguá,Pirituba,169252
2012,Pirituba/Jaraguá,Pirituba,170592
2013,Pirituba/Jaraguá,Pirituba,171858
2014,Pirituba/Jaraguá,Pirituba,173163
2015,Pirituba/Jaraguá,Pirituba,174500
2016,Pirituba/Jaraguá,Pirituba,175685
2017,Pirituba/Jaraguá,Pirituba,176746
2018,Pirituba/Jaraguá,Pirituba,177721
2019,Pirituba/Jaraguá,Pirituba,178575
2020,Pirituba/Jaraguá,Pirituba,179287
2021,Pirituba/Jaraguá,Pirituba,179690
2022,Pirituba/Jaraguá,Pirituba,179888
2023,Pirituba/Jaraguá,Pirituba,180504
2024,Pirituba/Jaraguá,Pirituba,181007
2000,Ermelino Matarazzo,Ponte Rasa,98172
2001,Ermelino Matarazzo,Ponte Rasa,97952
2002,Ermelino Matarazzo,Ponte Rasa,97624
2003,Ermelino Matarazzo,Ponte Rasa,97231
2004,Ermelino Matarazzo,Ponte Rasa,96818
2005,Ermelino Matarazzo,Ponte Rasa,96411
2006,Ermelino Matarazzo,Ponte Rasa,95969
2007,Ermelino Matarazzo,Ponte Rasa,95450
2008,Ermelino Matarazzo,Ponte Rasa,94918
2009,Ermelino Matarazzo,Ponte Rasa,94359
2010,Ermelino Matarazzo,Ponte Rasa,93929
2011,Ermelino Matarazzo,Ponte Rasa,93789
2012,Ermelino Matarazzo,Ponte Rasa,93667
2013,Ermelino Matarazzo,Ponte Rasa,93530
2014,Ermelino Matarazzo,Ponte Rasa,93376
2015,Ermelino Matarazzo,Ponte Rasa,93274
2016,Ermelino Matarazzo,Ponte Rasa,93075
2017,Ermelino Matarazzo,Ponte Rasa,92823
2018,Ermelino Matarazzo,Ponte Rasa,92581
2019,Ermelino Matarazzo,Ponte Rasa,92250
2020,Ermelino Matarazzo,Ponte Rasa,91764
2021,Ermelino Matarazzo,Ponte Rasa,91039
2022,Ermelino Matarazzo,Ponte Rasa,90198
2023,Ermelino Matarazzo,Ponte Rasa,89441
2024,Ermelino Matarazzo,Ponte Rasa,88640
2000,Butantã,Raposo Tavares,91141
2001,Butantã,Raposo Tavares,92116
2002,Butantã,Raposo Tavares,92990
2003,Butantã,Raposo Tavares,93866
2004,Butantã,Raposo Tavares,94763
2005,Butantã,Raposo Tavares,95627
2006,Butantã,Raposo Tavares,96518
2007,Butantã,Raposo Tavares,97417
2008,Butantã,Raposo Tavares,98315
2009,Butantã,Raposo Tavares,99173
2010,Butantã,Raposo Tavares,100086
2011,Butantã,Raposo Tavares,101659
2012,Butantã,Raposo Tavares,103287
2013,Butantã,Raposo Tavares,104846
2014,Butantã,Raposo Tavares,106421
2015,Butantã,Raposo Tavares,108066
2016,Butantã,Raposo Tavares,109679
2017,Butantã,Raposo Tavares,111216
2018,Butantã,Raposo Tavares,112717
2019,Butantã,Raposo Tavares,114082
2020,Butantã,Raposo Tavares,115258
2021,Butantã,Raposo Tavares,116245
2022,Butantã,Raposo Tavares,117108
2023,Butantã,Raposo Tavares,118177
2024,Butantã,Raposo Tavares,119088
2000,Sé,República,47810
2001,Sé,República,48746
2002,Sé,República,49683
2003,Sé,República,50595
2004,Sé,República,51507
2005,Sé,República,52411
2006,Sé,República,53301
2007,Sé,República,54188
2008,Sé,República,55125
2009,Sé,República,56080
2010,Sé,República,56898
2011,Sé,República,57283
2012,Sé,República,57730
2013,Sé,República,58158
2014,Sé,República,58522
2015,Sé,República,58872
2016,Sé,República,59310
2017,Sé,República,59671
2018,Sé,República,59964
2019,Sé,República,60229
2020,Sé,República,60441
2021,Sé,República,60624
2022,Sé,República,60718
2023,Sé,República,60916
2024,Sé,República,61058
2000,Butantã,Rio Pequeno,111690
2001,Butantã,Rio Pequeno,112589
2002,Butantã,Rio Pequeno,113334
2003,Butantã,Rio Pequeno,114002
2004,Butantã,Rio Pequeno,114677
2005,Butantã,Rio Pequeno,115393
2006,Butantã,Rio Pequeno,116019
2007,Butantã,Rio Pequeno,116555
2008,Butantã,Rio Pequeno,117159
2009,Butantã,Rio Pequeno,117732
2010,Butantã,Rio Pequeno,118401
2011,Butantã,Rio Pequeno,119929
2012,Butantã,Rio Pequeno,121391
2013,Butantã,Rio Pequeno,122746
2014,Butantã,Rio Pequeno,123986
2015,Butantã,Rio Pequeno,125141
2016,Butantã,Rio Pequeno,126399
2017,Butantã,Rio Pequeno,127520
2018,Butantã,Rio Pequeno,128544
2019,Butantã,Rio Pequeno,129424
2020,Butantã,Rio Pequeno,130110
2021,Butantã,Rio Pequeno,130709
2022,Butantã,Rio Pequeno,131069
2023,Butantã,Rio Pequeno,131664
2024,Butantã,Rio Pequeno,132079
2000,Ipiranga,Sacomã,228159
2001,Ipiranga,Sacomã,230458
2002,Ipiranga,Sacomã,232532
2003,Ipiranga,Sacomã,234533
2004,Ipiranga,Sacomã,236516
2005,Ipiranga,Sacomã,238528
2006,Ipiranga,Sacomã,240466
2007,Ipiranga,Sacomã,242348
2008,Ipiranga,Sacomã,244166
2009,Ipiranga,Sacomã,245904
2010,Ipiranga,Sacomã,247681
2011,Ipiranga,Sacomã,249123
2012,Ipiranga,Sacomã,250589
2013,Ipiranga,Sacomã,251936
2014,Ipiranga,Sacomã,253367
2015,Ipiranga,Sacomã,254931
2016,Ipiranga,Sacomã,256382
2017,Ipiranga,Sacomã,257794
2018,Ipiranga,Sacomã,259190
2019,Ipiranga,Sacomã,260391
2020,Ipiranga,Sacomã,261159
2021,Ipiranga,Sacomã,261413
2022,Ipiranga,Sacomã,261577
2023,Ipiranga,Sacomã,262011
2024,Ipiranga,Sacomã,262208
2000,Sé,Santa Cecília,71314
2001,Sé,Santa Cecília,72630
2002,Sé,Santa Cecília,73925
2003,Sé,Santa Cecília,75223
2004,Sé,Santa Cecília,76511
2005,Sé,Santa Cecília,77757
2006,Sé,Santa Cecília,78952
2007,Sé,Santa Cecília,80149
2008,Sé,Santa Cecília,81337
2009,Sé,Santa Cecília,82545
2010,Sé,Santa Cecília,83606
2011,Sé,Santa Cecília,83574
2012,Sé,Santa Cecília,83500
2013,Sé,Santa Cecília,83388
2014,Sé,Santa Cecília,83221
2015,Sé,Santa Cecília,83013
2016,Sé,Santa Cecília,82848
2017,Sé,Santa Cecília,82652
2018,Sé,Santa Cecília,82492
2019,Sé,Santa Cecília,82339
2020,Sé,Santa Cecília,82078
2021,Sé,Santa Cecília,81743
2022,Sé,Santa Cecília,81437
2023,Sé,Santa Cecília,81170
2024,Sé,Santa Cecília,80819
2000,Santana/Tucuruvi,Santana,124789
2001,Santana/Tucuruvi,Santana,124282
2002,Santana/Tucuruvi,Santana,123736
2003,Santana/Tucuruvi,Santana,123128
2004,Santana/Tucuruvi,Santana,122501
2005,Santana/Tucuruvi,Santana,121895
2006,Santana/Tucuruvi,Santana,121240
2007,Santana/Tucuruvi,Santana,120571
2008,Santana/Tucuruvi,Santana,119966
2009,Santana/Tucuruvi,Santana,119355
2010,Santana/Tucuruvi,Santana,118845
2011,Santana/Tucuruvi,Santana,118958
2012,Santana/Tucuruvi,Santana,118998
2013,Santana/Tucuruvi,Santana,119024
2014,Santana/Tucuruvi,Santana,119020
2015,Santana/Tucuruvi,Santana,118967
2016,Santana/Tucuruvi,Santana,118877
2017,Santana/Tucuruvi,Santana,118749
2018,Santana/Tucuruvi,Santana,118652
2019,Santana/Tucuruvi,Santana,118481
2020,Santana/Tucuruvi,Santana,118092
2021,Santana/Tucuruvi,Santana,117501
2022,Santana/Tucuruvi,Santana,116831
2023,Santana/Tucuruvi,Santana,116425
2024,Santana/Tucuruvi,Santana,115913
2000,Santo Amaro,Santo Amaro,60673
2001,Santo Amaro,Santo Amaro,61823
2002,Santo Amaro,Santo Amaro,62915
2003,Santo Amaro,Santo Amaro,64015
2004,Santo Amaro,Santo Amaro,65143
2005,Santo Amaro,Santo Amaro,66298
2006,Santo Amaro,Santo Amaro,67406
2007,Santo Amaro,Santo Amaro,68461
2008,Santo Amaro,Santo Amaro,69521
2009,Santo Amaro,Santo Amaro,70578
2010,Santo Amaro,Santo Amaro,71462
2011,Santo Amaro,Santo Amaro,72705
2012,Santo Amaro,Santo Amaro,73970
2013,Santo Amaro,Santo Amaro,75302
2014,Santo Amaro,Santo Amaro,76643
2015,Santo Amaro,Santo Amaro,77984
2016,Santo Amaro,Santo Amaro,79244
2017,Santo Amaro,Santo Amaro,80503
2018,Santo Amaro,Santo Amaro,81779
2019,Santo Amaro,Santo Amaro,83062
2020,Santo Amaro,Santo Amaro,84254
2021,Santo Amaro,Santo Amaro,85238
2022,Santo Amaro,Santo Amaro,86227
2023,Santo Amaro,Santo Amaro,87297
2024,Santo Amaro,Santo Amaro,88344
2000,Pirituba/Jaraguá,São Domingos,82724
2001,Pirituba/Jaraguá,São Domingos,83055
2002,Pirituba/Jaraguá,São Domingos,83308
2003,Pirituba/Jaraguá,São Domingos,83483
2004,Pirituba/Jaraguá,São Domingos,83670
2005,Pirituba/Jaraguá,São Domingos,83899
2006,Pirituba/Jaraguá,São Domingos,84099
2007,Pirituba/Jaraguá,São Domingos,84292
2008,Pirituba/Jaraguá,São Domingos,84462
2009,Pirituba/Jaraguá,São Domingos,84591
2010,Pirituba/Jaraguá,São Domingos,84825
2011,Pirituba/Jaraguá,São Domingos,85292
2012,Pirituba/Jaraguá,São Domingos,85761
2013,Pirituba/Jaraguá,São Domingos,86251
2014,Pirituba/Jaraguá,São Domingos,86801
2015,Pirituba/Jaraguá,São Domingos,87381
2016,Pirituba/Jaraguá,São Domingos,87804
2017,Pirituba/Jaraguá,São Domingos,88160
2018,Pirituba/Jaraguá,São Domingos,88534
2019,Pirituba/Jaraguá,São Domingos,88883
2020,Pirituba/Jaraguá,São Domingos,89108
2021,Pirituba/Jaraguá,São Domingos,89107
2022,Pirituba/Jaraguá,São Domingos,89063
2023,Pirituba/Jaraguá,São Domingos,89199
2024,Pirituba/Jaraguá,São Domingos,89226
2000,Vila Prudente,São Lucas,139469
2001,Vila Prudente,São Lucas,139900
2002,Vila Prudente,São Lucas,140215
2003,Vila Prudente,São Lucas,140527
2004,Vila Prudente,São Lucas,140838
2005,Vila Prudente,São Lucas,141217
2006,Vila Prudente,São Lucas,141536
2007,Vila Prudente,São Lucas,141782
2008,Vila Prudente,São Lucas,142001
2009,Vila Prudente,São Lucas,142118
2010,Vila Prudente,São Lucas,142323
2011,Vila Prudente,São Lucas,142247
2012,Vila Prudente,São Lucas,142274
2013,Vila Prudente,São Lucas,142252
2014,Vila Prudente,São Lucas,142168
2015,Vila Prudente,São Lucas,142110
2016,Vila Prudente,São Lucas,141898
2017,Vila Prudente,São Lucas,141690
2018,Vila Prudente,São Lucas,141479
2019,Vila Prudente,São Lucas,141202
2020,Vila Prudente,São Lucas,140730
2021,Vila Prudente,São Lucas,139791
2022,Vila Prudente,São Lucas,138814
2023,Vila Prudente,São Lucas,138079
2024,Vila Prudente,São Lucas,137250
2000,São Mateus,São Mateus,154839
2001,São Mateus,São Mateus,155243
2002,São Mateus,São Mateus,155535
2003,São Mateus,São Mateus,155743
2004,São Mateus,São Mateus,155876
2005,São Mateus,São Mateus,155971
2006,São Mateus,São Mateus,155966
2007,São Mateus,São Mateus,155805
2008,São Mateus,São Mateus,155502
2009,São Mateus,São Mateus,155159
2010,São Mateus,São Mateus,155138
2011,São Mateus,São Mateus,155518
2012,São Mateus,São Mateus,155824
2013,São Mateus,São Mateus,156055
2014,São Mateus,São Mateus,156332
2015,São Mateus,São Mateus,156578
2016,São Mateus,São Mateus,156671
2017,São Mateus,São Mateus,156707
2018,São Mateus,São Mateus,156824
2019,São Mateus,São Mateus,156870
2020,São Mateus,São Mateus,156649
2021,São Mateus,São Mateus,156109
2022,São Mateus,São Mateus,155467
2023,São Mateus,São Mateus,155101
2024,São Mateus,São Mateus,154556
2000,São Miguel Paulista,São Miguel,97441
2001,São Miguel Paulista,São Miguel,97314
2002,São Miguel Paulista,São Miguel,96967
2003,São Miguel Paulista,São Miguel,96491
2004,São Miguel Paulista,São Miguel,95936
2005,São Miguel Paulista,São Miguel,95415
2006,São Miguel Paulista,São Miguel,94862
2007,São Miguel Paulista,São Miguel,94191
2008,São Miguel Paulista,São Miguel,93427
2009,São Miguel Paulista,São Miguel,92614
2010,São Miguel Paulista,São Miguel,92124
2011,São Miguel Paulista,São Miguel,91546
2012,São Miguel Paulista,São Miguel,90838
2013,São Miguel Paulista,São Miguel,89904
2014,São Miguel Paulista,São Miguel,88931
2015,São Miguel Paulista,São Miguel,88116
2016,São Miguel Paulista,São Miguel,87682
2017,São Miguel Paulista,São Miguel,87186
2018,São Miguel Paulista,São Miguel,86288
2019,São Miguel Paulista,São Miguel,85185
2020,São Miguel Paulista,São Miguel,83916
2021,São Miguel Paulista,São Miguel,82405
2022,São Miguel Paulista,São Miguel,80808
2023,São Miguel Paulista,São Miguel,79411
2024,São Miguel Paulista,São Miguel,77860
2000,São Mateus,São Rafael,124731
2001,São Mateus,São Rafael,126585
2002,São Mateus,São Rafael,128454
2003,São Mateus,São Rafael,130294
2004,São Mateus,São Rafael,132221
2005,São Mateus,São Rafael,134235
2006,São Mateus,São Rafael,136224
2007,São Mateus,São Rafael,138149
2008,São Mateus,São Rafael,140087
2009,São Mateus,São Rafael,142010
2010,São Mateus,São Rafael,143821
2011,São Mateus,São Rafael,144228
2012,São Mateus,São Rafael,144690
2013,São Mateus,São Rafael,145206
2014,São Mateus,São Rafael,145723
2015,São Mateus,São Rafael,146287
2016,São Mateus,São Rafael,146741
2017,São Mateus,São Rafael,147164
2018,São Mateus,São Rafael,147462
2019,São Mateus,São Rafael,147676
2020,São Mateus,São Rafael,147839
2021,São Mateus,São Rafael,147691
2022,São Mateus,São Rafael,147603
2023,São Mateus,São Rafael,147465
2024,São Mateus,São Rafael,147185
2000,Sapopemba,Sapopemba,282054
2001,Sapopemba,Sapopemba,282583
2002,Sapopemba,Sapopemba,282948
2003,Sapopemba,Sapopemba,283243
2004,Sapopemba,Sapopemba,283547
2005,Sapopemba,Sapopemba,283858
2006,Sapopemba,Sapopemba,284026
2007,Sapopemba,Sapopemba,284048
2008,Sapopemba,Sapopemba,284032
2009,Sapopemba,Sapopemba,284030
2010,Sapopemba,Sapopemba,284503
2011,Sapopemba,Sapopemba,283688
2012,Sapopemba,Sapopemba,282945
2013,Sapopemba,Sapopemba,282058
2014,Sapopemba,Sapopemba,281088
2015,Sapopemba,Sapopemba,280098
2016,Sapopemba,Sapopemba,278790
2017,Sapopemba,Sapopemba,277313
2018,Sapopemba,Sapopemba,275758
2019,Sapopemba,Sapopemba,274077
2020,Sapopemba,Sapopemba,271964
2021,Sapopemba,Sapopemba,269198
2022,Sapopemba,Sapopemba,266379
2023,Sapopemba,Sapopemba,263773
2024,Sapopemba,Sapopemba,260925
2000,Vila Mariana,Saúde,118175
2001,Vila Mariana,Saúde,119476
2002,Vila Mariana,Saúde,120750
2003,Vila Mariana,Saúde,122101
2004,Vila Mariana,Saúde,123480
2005,Vila Mariana,Saúde,124787
2006,Vila Mariana,Saúde,126053
2007,Vila Mariana,Saúde,127274
2008,Vila Mariana,Saúde,128453
2009,Vila Mariana,Saúde,129612
2010,Vila Mariana,Saúde,130671
2011,Vila Mariana,Saúde,130821
2012,Vila Mariana,Saúde,131009
2013,Vila Mariana,Saúde,131113
2014,Vila Mariana,Saúde,131138
2015,Vila Mariana,Saúde,131118
2016,Vila Mariana,Saúde,131015
2017,Vila Mariana,Saúde,130893
2018,Vila Mariana,Saúde,130867
2019,Vila Mariana,Saúde,130911
2020,Vila Mariana,Saúde,130767
2021,Vila Mariana,Saúde,130338
2022,Vila Mariana,Saúde,129881
2023,Vila Mariana,Saúde,129530
2024,Vila Mariana,Saúde,129107
2000,Sé,Sé,20174
2001,Sé,Sé,20491
2002,Sé,Sé,20784
2003,Sé,Sé,21079
2004,Sé,Sé,21424
2005,Sé,Sé,21811
2006,Sé,Sé,22167
2007,Sé,Sé,22505
2008,Sé,Sé,22868
2009,Sé,Sé,23241
2010,Sé,Sé,23620
2011,Sé,Sé,23692
2012,Sé,Sé,23790
2013,Sé,Sé,23868
2014,Sé,Sé,23901
2015,Sé,Sé,23956
2016,Sé,Sé,24069
2017,Sé,Sé,24127
2018,Sé,Sé,24127
2019,Sé,Sé,24097
2020,Sé,Sé,23963
2021,Sé,Sé,23805
2022,Sé,Sé,23629
2023,Sé,Sé,23440
2024,Sé,Sé,23209
2000,Capela do Socorro,Socorro,39139
2001,Capela do Socorro,Socorro,39072
2002,Capela do Socorro,Socorro,38954
2003,Capela do Socorro,Socorro,38856
2004,Capela do Socorro,Socorro,38750
2005,Capela do Socorro,Socorro,38611
2006,Capela do Socorro,Socorro,38478
2007,Capela do Socorro,Socorro,38340
2008,Capela do Socorro,Socorro,38157
2009,Capela do Socorro,Socorro,37945
2010,Capela do Socorro,Socorro,37794
2011,Capela do Socorro,Socorro,37928
2012,Capela do Socorro,Socorro,38092
2013,Capela do Socorro,Socorro,38217
2014,Capela do Socorro,Socorro,38306
2015,Capela do Socorro,Socorro,38397
2016,Capela do Socorro,Socorro,38470
2017,Capela do Socorro,Socorro,38535
2018,Capela do Socorro,Socorro,38618
2019,Capela do Socorro,Socorro,38673
2020,Capela do Socorro,Socorro,38672
2021,Capela do Socorro,Socorro,38550
2022,Capela do Socorro,Socorro,38360
2023,Capela do Socorro,Socorro,38265
2024,Capela do Socorro,Socorro,38111
2000,Moóca,Tatuapé,79418
2001,Moóca,Tatuapé,80676
2002,Moóca,Tatuapé,81904
2003,Moóca,Tatuapé,83168
2004,Moóca,Tatuapé,84428
2005,Moóca,Tatuapé,85650
2006,Moóca,Tatuapé,86801
2007,Moóca,Tatuapé,87969
2008,Moóca,Tatuapé,89214
2009,Moóca,Tatuapé,90475
2010,Moóca,Tatuapé,91563
2011,Moóca,Tatuapé,92385
2012,Moóca,Tatuapé,93179
2013,Moóca,Tatuapé,93959
2014,Moóca,Tatuapé,94696
2015,Moóca,Tatuapé,95445
2016,Moóca,Tatuapé,96179
2017,Moóca,Tatuapé,96931
2018,Moóca,Tatuapé,97642
2019,Moóca,Tatuapé,98355
2020,Moóca,Tatuapé,98946
2021,Moóca,Tatuapé,99221
2022,Moóca,Tatuapé,99506
2023,Moóca,Tatuapé,100093
2024,Moóca,Tatuapé,100586
2000,Jaçanã/Tremembé,Tremembé,163428
2001,Jaçanã/Tremembé,Tremembé,166864
2002,Jaçanã/Tremembé,Tremembé,170249
2003,Jaçanã/Tremembé,Tremembé,173674
2004,Jaçanã/Tremembé,Tremembé,177078
2005,Jaçanã/Tremembé,Tremembé,180496
2006,Jaçanã/Tremembé,Tremembé,183883
2007,Jaçanã/Tremembé,Tremembé,187209
2008,Jaçanã/Tremembé,Tremembé,190459
2009,Jaçanã/Tremembé,Tremembé,193776
2010,Jaçanã/Tremembé,Tremembé,196952
2011,Jaçanã/Tremembé,Tremembé,197242
2012,Jaçanã/Tremembé,Tremembé,197440
2013,Jaçanã/Tremembé,Tremembé,197510
2014,Jaçanã/Tremembé,Tremembé,197668
2015,Jaçanã/Tremembé,Tremembé,197936
2016,Jaçanã/Tremembé,Tremembé,198081
2017,Jaçanã/Tremembé,Tremembé,198113
2018,Jaçanã/Tremembé,Tremembé,198046
2019,Jaçanã/Tremembé,Tremembé,197810
2020,Jaçanã/Tremembé,Tremembé,197345
2021,Jaçanã/Tremembé,Tremembé,196566
2022,Jaçanã/Tremembé,Tremembé,195955
2023,Jaçanã/Tremembé,Tremembé,195227
2024,Jaçanã/Tremembé,Tremembé,194428
2000,Santana/Tucuruvi,Tucuruvi,99495
2001,Santana/Tucuruvi,Tucuruvi,99554
2002,Santana/Tucuruvi,Tucuruvi,99487
2003,Santana/Tucuruvi,Tucuruvi,99424
2004,Santana/Tucuruvi,Tucuruvi,99323
2005,Santana/Tucuruvi,Tucuruvi,99161
2006,Santana/Tucuruvi,Tucuruvi,98980
2007,Santana/Tucuruvi,Tucuruvi,98845
2008,Santana/Tucuruvi,Tucuruvi,98752
2009,Santana/Tucuruvi,Tucuruvi,98597
2010,Santana/Tucuruvi,Tucuruvi,98447
2011,Santana/Tucuruvi,Tucuruvi,98862
2012,Santana/Tucuruvi,Tucuruvi,99254
2013,Santana/Tucuruvi,Tucuruvi,99533
2014,Santana/Tucuruvi,Tucuruvi,99758
2015,Santana/Tucuruvi,Tucuruvi,100027
2016,Santana/Tucuruvi,Tucuruvi,100243
2017,Santana/Tucuruvi,Tucuruvi,100456
2018,Santana/Tucuruvi,Tucuruvi,100708
2019,Santana/Tucuruvi,Tucuruvi,100888
2020,Santana/Tucuruvi,Tucuruvi,100909
2021,Santana/Tucuruvi,Tucuruvi,100702
2022,Santana/Tucuruvi,Tucuruvi,100460
2023,Santana/Tucuruvi,Tucuruvi,100403
2024,Santana/Tucuruvi,Tucuruvi,100340
2000,Campo Limpo,Vila Andrade,73293
2001,Campo Limpo,Vila Andrade,78687
2002,Campo Limpo,Vila Andrade,84017
2003,Campo Limpo,Vila Andrade,89322
2004,Campo Limpo,Vila Andrade,94678
2005,Campo Limpo,Vila Andrade,100061
2006,Campo Limpo,Vila Andrade,105401
2007,Campo Limpo,Vila Andrade,110760
2008,Campo Limpo,Vila Andrade,116161
2009,Campo Limpo,Vila Andrade,121629
2010,Campo Limpo,Vila Andrade,126439
2011,Campo Limpo,Vila Andrade,129785
2012,Campo Limpo,Vila Andrade,133241
2013,Campo Limpo,Vila Andrade,136782
2014,Campo Limpo,Vila Andrade,140462
2015,Campo Limpo,Vila Andrade,144229
2016,Campo Limpo,Vila Andrade,147647
2017,Campo Limpo,Vila Andrade,151073
2018,Campo Limpo,Vila Andrade,154637
2019,Campo Limpo,Vila Andrade,158173
2020,Campo Limpo,Vila Andrade,161507
2021,Campo Limpo,Vila Andrade,164479
2022,Campo Limpo,Vila Andrade,167725
2023,Campo Limpo,Vila Andrade,170924
2024,Campo Limpo,Vila Andrade,174102
2000,Itaim Paulista,Vila Curuçá,146289
2001,Itaim Paulista,Vila Curuçá,147070
2002,Itaim Paulista,Vila Curuçá,147517
2003,Itaim Paulista,Vila Curuçá,147856
2004,Itaim Paulista,Vila Curuçá,148251
2005,Itaim Paulista,Vila Curuçá,148517
2006,Itaim Paulista,Vila Curuçá,148674
2007,Itaim Paulista,Vila Curuçá,148731
2008,Itaim Paulista,Vila Curuçá,148759
2009,Itaim Paulista,Vila Curuçá,148794
2010,Itaim Paulista,Vila Curuçá,149030
2011,Itaim Paulista,Vila Curuçá,148574
2012,Itaim Paulista,Vila Curuçá,148172
2013,Itaim Paulista,Vila Curuçá,147750
2014,Itaim Paulista,Vila Curuçá,147387
2015,Itaim Paulista,Vila Curuçá,146982
2016,Itaim Paulista,Vila Curuçá,146220
2017,Itaim Paulista,Vila Curuçá,145415
2018,Itaim Paulista,Vila Curuçá,144754
2019,Itaim Paulista,Vila Curuçá,144058
2020,Itaim Paulista,Vila Curuçá,143104
2021,Itaim Paulista,Vila Curuçá,141728
2022,Itaim Paulista,Vila Curuçá,140360
2023,Itaim Paulista,Vila Curuçá,139084
2024,Itaim Paulista,Vila Curuçá,137675
2000,Aricanduva/Formosa/Carrão,Vila Formosa,93904
2001,Aricanduva/Formosa/Carrão,Vila Formosa,94061
2002,Aricanduva/Formosa/Carrão,Vila Formosa,94153
2003,Aricanduva/Formosa/Carrão,Vila Formosa,94269
2004,Aricanduva/Formosa/Carrão,Vila Formosa,94378
2005,Aricanduva/Formosa/Carrão,Vila Formosa,94488
2006,Aricanduva/Formosa/Carrão,Vila Formosa,94538
2007,Aricanduva/Formosa/Carrão,Vila Formosa,94540
2008,Aricanduva/Formosa/Carrão,Vila Formosa,94590
2009,Aricanduva/Formosa/Carrão,Vila Formosa,94655
2010,Aricanduva/Formosa/Carrão,Vila Formosa,94792
2011,Aricanduva/Formosa/Carrão,Vila Formosa,94806
2012,Aricanduva/Formosa/Carrão,Vila Formosa,94831
2013,Aricanduva/Formosa/Carrão,Vila Formosa,94868
2014,Aricanduva/Formosa/Carrão,Vila Formosa,94894
2015,Aricanduva/Formosa/Carrão,Vila Formosa,94892
2016,Aricanduva/Formosa/Carrão,Vila Formosa,94760
2017,Aricanduva/Formosa/Carrão,Vila Formosa,94606
2018,Aricanduva/Formosa/Carrão,Vila Formosa,94451
2019,Aricanduva/Formosa/Carrão,Vila Formosa,94276
2020,Aricanduva/Formosa/Carrão,Vila Formosa,94005
2021,Aricanduva/Formosa/Carrão,Vila Formosa,93483
2022,Aricanduva/Formosa/Carrão,Vila Formosa,92885
2023,Aricanduva/Formosa/Carrão,Vila Formosa,92513
2024,Aricanduva/Formosa/Carrão,Vila Formosa,91975
2000,Vila Maria/Vila Guilherme,Vila Guilherme,50090
2001,Vila Maria/Vila Guilherme,Vila Guilherme,50482
2002,Vila Maria/Vila Guilherme,Vila Guilherme,50849
2003,Vila Maria/Vila Guilherme,Vila Guilherme,51241
2004,Vila Maria/Vila Guilherme,Vila Guilherme,51676
2005,Vila Maria/Vila Guilherme,Vila Guilherme,52106
2006,Vila Maria/Vila Guilherme,Vila Guilherme,52526
2007,Vila Maria/Vila Guilherme,Vila Guilherme,52934
2008,Vila Maria/Vila Guilherme,Vila Guilherme,53372
2009,Vila Maria/Vila Guilherme,Vila Guilherme,53845
2010,Vila Maria/Vila Guilherme,Vila Guilherme,54295
2011,Vila Maria/Vila Guilherme,Vila Guilherme,54273
2012,Vila Maria/Vila Guilherme,Vila Guilherme,54282
2013,Vila Maria/Vila Guilherme,Vila Guilherme,54301
2014,Vila Maria/Vila Guilherme,Vila Guilherme,54293
2015,Vila Maria/Vila Guilherme,Vila Guilherme,54237
2016,Vila Maria/Vila Guilherme,Vila Guilherme,54155
2017,Vila Maria/Vila Guilherme,Vila Guilherme,54007
2018,Vila Maria/Vila Guilherme,Vila Guilherme,53871
2019,Vila Maria/Vila Guilherme,Vila Guilherme,53729
2020,Vila Maria/Vila Guilherme,Vila Guilherme,53500
2021,Vila Maria/Vila Guilherme,Vila Guilherme,53130
2022,Vila Maria/Vila Guilherme,Vila Guilherme,52764
2023,Vila Maria/Vila Guilherme,Vila Guilherme,52470
2024,Vila Maria/Vila Guilherme,Vila Guilherme,52109
2000,São Miguel Paulista,Vila Jacuí,141544
2001,São Miguel Paulista,Vila Jacuí,141976
2002,São Miguel Paulista,Vila Jacuí,142170
2003,São Miguel Paulista,Vila Jacuí,142271
2004,São Miguel Paulista,Vila Jacuí,142305
2005,São Miguel Paulista,Vila Jacuí,142377
